#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
56,Finland,"1,360,721",,"6,741 ",,"1,317,757","+2,286","36,223",21,"244,956","1,214","11,684,973","2,103,521","5,554,960 ",Europe,48240,,,"6,521",
57,Bulgaria,"1,281,155",,"37,916 ",,"1,233,725",,"9,514",59,"187,178","5,540","10,729,015","1,567,516","6,844,597 ",Europe,51811,,,"1,390",
58,Lithuania,"1,269,729",,"9,401 ",,"1,252,248",,"8,080",8,"477,035","3,532","10,228,676","3,842,899","2,661,708 ",Europe,22830,,,"3,036",
59,Morocco,"1,265,965",,"16,281 ",,"1,249,253",,431,293,"33,515",431,"12,678,343","335,648","37,772,756 ",Africa,"302,3203",,,11,
60,Croatia,"1,248,450",,"17,185 ",,"1,229,134",,"2,131",12,"307,554","4,234","5,316,503","1,309,714","4,059,286 ",Europe,32361,,,525,
61,Slovenia,"1,237,624",,"6,893 ",,"1,218,452",,"12,279",17,"595,574","3,317","2,769,971","1,332,977","2,078,034 ",Europe,23011,,,"5,909",
62,Lebanon,"1,219,066",,"10,712 ",,"1,087,587",,"120,767",74,"182,363","1,602","4,795,578","717,380","6,684,849 ",Asia,56241,,,"18,066",
63,Tunisia,"1,146,593",,"29,259 ",,N/A,N/A,N/A,101,"95,179","2,429","4,966,900","412,305","12,046,656 ",Africa,114122,,,609,
64,Guatemala,"1,142,470",,"19,905 ",,"1,121,442",,"1,123",5,"61,476","1,071","6,129,868","329,846","18,584,039 ",North America,169343,,,60,
65,Costa Rica,"1,138,416",,"9,009 ",,"860,711",,"268,696",52,"219,672","1,738","4,659,757","899,158","5,182,354 ",North America,55751,,,"51,848",
66,Cuba,"1,111,292",,"8,530 ",,"1,102,695",,67,23,"98,295",754,"14,184,566","1,254,644","11,305,652 ",North America,"101,3251",,,6,
67,Bolivia,"1,109,581",,"22,240 ",,"1,070,474",,"16,867",220,"92,522","1,854","2,705,422","225,590","11,992,656 ",South America,115394,,,"1,406",
